title,institution,domain,ai_type,maturity_stage,status,risk_level,compliance_status,funding_amount_sgd
CT Coronary Stenosis Detector,SingHealth,Radiology,Computer Vision,Validation,Active,High,In Progress,250000
Ward Readmission Risk Model,SingHealth,Operations,Tabular ML,Production,Active,Medium,Approved,180000
Clinical Note Summarizer,SingHealth,General Medicine,NLP,Development,On Hold,High,Needs Review,90000
Coronary Stenosis Segmentation Model (MRI),Changi General Hospital,Pathology,Computer Vision,Pilot,On Hold,High,Not Started,147000
MRI Pneumonia Summarizer,NUS Medicine,Dermatology,Computer Vision,Pilot,Completed,Medium,Needs Review,314000
CT-based Diabetic Retinopathy Monitor,KK Women's and Children's Hospital,General Medicine,NLP,Development,Completed,Low,Not Started,131000
ECG Stroke Alerting System,Singapore General Hospital,Surgery,Computer Vision,Validation,Completed,Medium,Approved,116000
MRI-based Stroke Summarizer,KK Women's and Children's Hospital,Cardiology,Graph ML,Development,Active,Medium,In Progress,72000
EHR Pneumonia Segmentation Model,Institute of Mental Health,Operations,Graph ML,Development,Completed,Low,Not Started,115000
Medication Error Detector (Ultrasound),KK Women's and Children's Hospital,Radiology,Generative AI,Development,Active,High,In Progress,89000
No-show Alerting System (Pathology Slide),Singapore General Hospital,General Medicine,NLP,Development,On Hold,Medium,In Progress,97000
ICU Deterioration Classifier,Changi General Hospital,Cardiology,Graph ML,Ideation,Active,Medium,Needs Review,79000
No-show Optimizer,Institute of Mental Health,Dermatology,Generative AI,Production,Completed,Low,Approved,389000
ECG-based Medication Error Risk Model,Khoo Teck Puat Hospital,Surgery,NLP,Validation,Retired,High,In Progress,244000
Readmission Segmentation Model (CXR),SingHealth,Oncology,Tabular ML,Pilot,On Hold,High,Approved,303000
Pathology Slide-based Coronary Stenosis Risk Model,Tan Tock Seng Hospital,ICU,Tabular ML,Development,Active,Medium,Not Started,142000
ICU Deterioration Triage Assistant,Khoo Teck Puat Hospital,Dermatology,Computer Vision,Development,Completed,Medium,Not Started,136000
Ultrasound-based Kidney Injury Monitor,Khoo Teck Puat Hospital,Neurology,Reinforcement Learning,Validation,Active,Low,Not Started,110000
